text_type;text;item_type;category
cdiNamePrefix;Jak mówi Twój trzylatek?;;
cdiNameSufix;Pilotażowe badanie języka dzieci w wieku 3-4 lat;;
header;Lista słów używanych przez dziecko;word;
menuButton;Wyrazy;word;
longText;"Dzieci rozumieją znacznie więcej słów niż same używają w mowie. Ten kwestionariusz dotyczy tylko tych słów, które Państwa dziecko spontanicznie mówi. Nie chodzi o to, co dziecko jest w stanie powtórzyć, ale o słowa, których samo z siebie używa. Proszę uważnie przeczytać listę wyrazów i zaznaczyć te z nich, które słyszeli Państwo od swego dziecka. Jeżeli dziecko używa nieco innej formy, np. mówi „główka”, a nie „głowa”, proszę mimo to zaznaczyć słowo „głowa”. Tak samo należy postąpić, jeśli dziecko wymawia jakieś słowo inaczej (np. „oblazony” zamiast „obrażony”). Proszę takie słowo także zaznaczyć, można też wpisać brzmienie wyrazu w takiej formie, w jakiej dziecko go używa, w polu na uwagi. Podobnie, jeśli w rodzinie funkcjonuje inne określenie niż podane w kwestionariuszu, proszę zaznaczyć odpowiednią pozycję i dopisać w polu na uwagi właściwe określenie. Mogą Państwo również wykorzystać to pole, żeby podzielić się z nami wszelkimi innymi uwagami.";word;firstPage
warning;"UWAGA:  Ten kwestionariusz zawiera jedynie próbkę słów, jakich Państwa dziecko może używać. Państwa dziecko na pewno zna wiele innych słów, których nie ma na tej liście. Zapewne nie zna też wszystkich słów, które się na niej znajdują. Proszę się tym nie martwić, bo w tym badaniu dopiero chcemy ustalić, o jakie wyrazy i w jakim wieku dziecka warto pytać.";word;firstPage
catHeader;Ciało/Organizm (1/3);word;body1
note;"item_40%lub inne określenie, używane w Państwa rodzinie";word;body1
catHeader;Ciało/Organizm (2/3);word;body2
catHeader;Ciało/Organizm (3/3);word;body3
catHeader;Kuchnia (1/3);word;kitchen1
catHeader;Kuchnia (2/3);word;kitchen2
catHeader;Kuchnia (3/3);word;kitchen3
catHeader;Umysł (1/3);word;mental1
catHeader;Umysł (2/3);word;mental2
catHeader;Umysł (3/3);word;mental3
catHeader;Emocje (1/3);word;emotion1
catHeader;Emocje (2/3);word;emotion2
catHeader;Emocje (3/3);word;emotion3
catHeader;Świat dziecka (1/3);word;child_world1
catHeader;Świat dziecka (2/3);word;child_world2
catHeader;Świat dziecka (3/3);word;child_world3
menuButton;Przykłady wypowiedzi;alternatives;
header;Przykłady wypowiedzi;alternatives;
longText;"Na kolejnych stronach znajdują się przykłady wypowiedzi, które dzieci mogą tworzyć w różnym wieku. W przykładach, które tu zebraliśmy, nie pytamy o konkretne słowa (Państwa dziecko może na przykład znać inne nazwy owoców lub potraw niż zaproponowane przez nas). Nie interesują nas też błędy, które Państwa dziecko może popełniać, używając wyrażeń, których przykłady tu zamieszczamy. Proszę się nie przejmować, jeśli Państwa dziecko mówi na przykład „chciałambym” zamiast „chciałabym”. Takie błędy są zupełnie naturalne w mowie dzieci i świadczą o jej rozwoju.";alternatives;firstPage
warning;"Prosimy nie przejmować się, jeśli odpowiadając na nasze pytania pomyślą Państwo, że Państwa dziecko „źle” wypada. Pytamy tutaj o rzeczy, które pojawiają się w mowie dzieci w różnym wieku, i tak naprawdę dopiero chcemy ustalić, o co i w jakim wieku dziecka warto pytać.";alternatives;firstPage
instr;"Poniższe przykłady wypowiedzi ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.";alternatives;grupa1
instr;"Poniższe przykłady wypowiedzi ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.";alternatives;grupa2
instr;"Poniższe przykłady wypowiedzi ułożyliśmy parami: w każdej parze jedna wersja jest mniej, a druga bardziej złożona. Proszę zaznaczyć wersję, która przypomina wypowiedzi Państwa dziecka. Nie chodzi nam o dokładnie takie sformułowania, jakich użyliśmy w przykładach. Również wyrazy używane przez Państwa dziecko mogą być inne (mogą też występować w nich błędy, np. „chciałambym” zamiast „chciałabym”). Jeżeli obie wersje przypominają wypowiedzi Państwa dziecka, mogą Państwo zaznaczyć obie, a jeśli Państwa dziecko jeszcze w ogóle nie tworzy takich wypowiedzi, proszę nie zaznaczać żadnej z nich.";alternatives;grupa3
menuButton;Dodatkowe pytania;yesNo;wprost
header;Dodatkowe pytania;yesNo;wprost
choiceNames;"Tak, Nie";yesNo;wprost
instr;"Poniżej znajdą Państwo jeszcze listę pytań dotyczących tego, jak Państwa dziecko posługuje się językiem. Odpowiadając na nie, proszę pamiętać, że pytamy o rzeczy, które mogą pojawiać się w różnym wieku, a w dodatku dzieci rozwijają się w różnym tempie: proszę się nie martwić, jeśli na większość tych pytań odpowiedzą Państwo przecząco. Proszę się też nie przejmować, jeśli Państwa dziecko popełnia błędy. Np. jeśli pytamy, czy Państwa dziecko dodaje „-bym” do czasowników, proszę odpowiedzieć twierdząco, jeśli Państwa dziecko mówi np. „chciałambym”.";yesNo;wprost
instr;"Jeśli wypełnili Państwo wszystkie części kwestionariusza, proszę kliknąć przycisk „Zatwierdź”.";end;
endMsgText;Dziękujemy za wypełnienie kwestionariusza! Mamy nadzieję, że czas refleksji nad rozwojem językowym dziecka był dla Państwa cenny! Państwa zaangażowanie w badanie jest bardzo ważne — pomoże nam szczegółowo opisać rozwój językowy dzieci.;end;
